ts	phase	decision	why	evidence	result
2026-09-04T17:54:11Z	gate	pnpm check green on main, so the tsconfig noise from agent worktrees is IDE only	it would have failed P4 for a reason unrelated to the code	background run b0xfjwdoh exit 0	P4 check leg green
2026-09-04T17:54:12Z	merge	kiwi cache PR 174 merged by the agent that owned it	it measured before and after rather than shipping a config diff	PR 174	re-running the acceptance repro against the deploy
2026-09-04T17:59:42Z	verify	the nights control moves the list from 3 to 1, so the traveller really does choose	acceptance condition 4 asked whether nights are chosen or just whatever an adapter returned	.audit/probe-filters.mjs	acceptance condition 4 passes
2026-09-04T17:59:42Z	verify	threw out my first facet reading and measured again with a fresh load per facet	the rail re-renders after a filter applies, so my index based locator was clicking a different button and carrying state forward	.audit/probe-facets3.mjs	first reading was wrong, second stands
2026-09-04T17:59:42Z	finding	every connection city and airline facet excludes what its label says it selects	click a facet counting 1 of 3 and 2 remain, click BY counting 3 and 0 remain	issue 189	filed, not yet assigned
2026-09-04T17:59:43Z	merge	merged 186, honest timestamps	it kept our fetch clock and the provider's expiry claim apart instead of deriving one from the other	PR 186	merged
2026-09-04T17:59:43Z	pace	stopped the PR watcher and froze the agent count at eight	the owner said the burn rate is ahead of the session budget, and every CI state change was waking me for a whole turn	TaskStop bu7brd5vc	no new agents
2026-09-04T18:04:39Z	merge	merged 190, providers quote their own error text and a monthly 429 stops at one attempt	checked first that it touches no persisted value, so nobody carries a stale cached shape into it	PR 190, gh pr diff 190 shows no localStorage or idb writes	merged
2026-09-04T18:09:31Z	fix	fixed 188 myself rather than spawning an agent, since the owner asked me to slow the burn	it is a crash that only fires once a bed is priced, which matches his own Show details doesnt work report	PR 195	open, waiting on CI
2026-09-04T18:09:31Z	fix	found the cause is the cache, not the grouping code: JSON round-trip destroys Property object identity	the grouping keyed on identity while the template keyed on values, so warm-cache users crashed and first-search users did not	src/lib/stays/types.ts	root caused
2026-09-04T18:09:32Z	fix	reversed an earlier decision to keep same-named hostels from two providers apart	that decision only ever held while object identity survived, and showing the same hostel twice is the worse failure	src/lib/stays/types.test.ts	documented in the PR
2026-09-04T18:09:32Z	verify	ran the new tests against the old grouping to see them fail before seeing them pass	green on its own proves the test runs, not that it detects anything	old 2 failed of 8, new 8 passed	red then green
2026-09-04T18:14:56Z	merge	merged 195, the stay grouping fix, and 188 closed	checks passed and the acceptance trip still returns 3 itineraries with a clean console after the deploy	PR 195	no regression
2026-09-04T18:14:56Z	merge	merged 196, the in-city rows and the walk fare	checked first that it changes no cache key, the mistake 131 made, and that it does not touch the grouping I had just changed	PR 196, mergeable clean	merged
2026-09-04T18:17:53Z	verify	re-ran the acceptance trip after 196 deployed, still 3 itineraries and a clean console	each merge gets its own repro rather than one hopeful check after a batch of them	.audit/check-predicate.sh	no regression, issues 13 to 11
2026-09-04T18:17:53Z	note	left the run-together label in the in-city row alone	it may be an innerText artefact rather than a visual defect, and the design agent owns that panel	probe output after 196	not filed, watching
2026-09-04T18:20:12Z	verify	chased a contradiction between my probe and the ground-transfer agent's report instead of picking one	it said the in-city rows now say Taxi, mine said they route nowhere, and both were true on different routes	LGW absent from the 11 airport centre table	filed 198
2026-09-04T18:20:12Z	merge	merged 193, one currency exponent table	checked first that HUF and JPY were excluded from the picker before it, so no warm cache holds a price parsed at 100x	PR 193, settings currencies comment	merged
2026-09-04T18:24:21Z	merge	merged 197, the design pass, after looking at the after-screenshot myself	the owner's bar is that it has to look better, and 17 committed files is not the same claim as better	expanded panel 3577px to 1387px on a phone, card 635px to 462px	merged
2026-09-04T18:24:21Z	fix	wrote the shared-scratchpad lesson into AGENTS.md	an agent had its PR body silently overwritten by another agent using the same filename, and caught it by luck	PR 199	open
2026-09-04T18:24:21Z	note	my first attempt committed that onto an already-merged branch	git checkout main failed silently because main is checked out in another worktree, and I had hidden the error with 2>/dev/null	31f2ce0 cherry-picked onto a clean branch	recovered
2026-09-04T20:23:26Z	recover	session limit killed four agents at once, three of them minutes from done	the keyless bed adapter was uncommitted across 14 files and would have been lost with the worktree	PRs 200 201 202	all four recovered and pushed
2026-09-04T20:23:26Z	merge	merged 168, the qa harness, on the rebase its agent never got to push	all three jobs green including its own qa gate, which was failing when I first looked at it	PR 168	merged
2026-09-04T20:25:40Z	recover	resumed the three killed agents instead of briefing fresh ones, on the owner's suggestion	a resumed agent keeps what it learned, and rediscovering a CORS result or a fixture's provenance is most of the cost	agents for 71, 141, and the bed research	running
2026-09-04T20:25:40Z	recover	told the bed researcher to answer questions only and not touch its old branch	a fresh agent already owns that branch and two of them editing it would collide	PR 202	knowledge request only
2026-09-04T20:25:40Z	note	told each resumed agent what merged underneath it	197 rebuilt the panel one of them screenshotted and 193 replaced the money parsing another would have used	9 merges since they started	briefed
2026-09-04T20:28:55Z	finding	a keyless bed price is real: hostelworld answers a cross-origin GET with ACAO star, no key and nothing that expires	beds were the last leg behind a paid key, so this is the difference between the acceptance trip working for the owner or only for someone who paid	local build, 3 of 3 itineraries, BVC London PFO EUR 307 = 229 flights + 78 bed	unmerged, PR 202
2026-09-04T20:28:55Z	verify	checked the debrief's three warnings against the branch rather than relaying them	the scratch dir, a possibly stale fixture and the teaser price field were all things it flagged it might have got wrong	no .probe committed, fixture is Rest Up London, mapper reads lowestAverage	all three clean
2026-09-04T20:28:55Z	finding	the adapter may read a per-person nightly rate as a whole-party one	nobody checked, and a party of three would be quoted a third of the real bed cost	relayed to the agent finishing 202 as a merge blocker	open
2026-09-04T20:51:16Z	fix	traced the women-only hostel to the mappers reading the room name and never the property name	the gate tested roomKind only, and Property had no field for a property-wide restriction, so nothing could have caught it	PR 207	merged or merging
2026-09-04T20:51:16Z	fix	dropped the tab bar, moved settings to a header gear, painted the sticky strip's missing 16px	sticky resolves against the container content box, so the strip parked below the header and cards scrolled through the gap	PR 208, content 594 to 667px	merged or merging
2026-09-04T20:51:17Z	note	started flipping blank females to mean zero, then reverted it when the owner said it was his form entry	he checked and told me the default was not the culprit, so the change would have been solving nothing	search-query.ts untouched	reverted
2026-09-04T20:54:54Z	merge	merged 200, flexible dates, the last feature in the brief	it versions its own stored ledger from the first commit and tests an unknown future version, which is the 131 lesson applied without being told	PR 200	merged
2026-09-04T20:54:54Z	fix	my nav removal broke an e2e test I had claimed nothing depended on	I grepped for the css class and the aria-label, and the test finds the nav by role and link name	search-to-results.spec.ts rewritten against the new header	13 passed
2026-09-04T20:57:47Z	merge	merged 208 after rebasing it over the flexible dates work	the conflict was flexible dates claiming a route in the tab model I was deleting, and its real entry point turned out to be on the results page	PR 208, 13 e2e passed locally	merged
2026-09-04T20:57:47Z	relay	passed the owner's uber and cabify idea to the transfer-price agent as a timeboxed probe	a real quote beats the rate table, but oauth client secrets and missing cors headers probably rule it out and I do not want the no-backend rule bent to make it work	message to the 204 agent	awaiting evidence
2026-09-04T20:59:45Z	verify	re-ran the header measurement against production after the deploy	the owner has reported this broken more than once, so a merge is not the claim that matters	header 53px, no nav, content 667px, summary answers at y=58 and 64	fixed on production
2026-09-04T21:05:55Z	merge	merged 202, keyless beds, after it measured the two things I had blocked it on	it verified cors from an https origin and proved hostelworld quotes per bed by comparing guests=1 to guests=3 byte for byte	PR 202	merged
2026-09-04T21:05:55Z	finding	beds are now priced keylessly and the card still says no bed priced	the cheapest bed within 100km is 48km from gatwick, the app asks osrm to walk it, the request resets, and the stay is dropped late	issue 204 comment, london backpackers EUR 13.00 at 51.5827 -0.2263	handed to the 204 agent
2026-09-04T21:05:55Z	verify	checked production rather than trusting the agent's local build measurement	it measured a priced bed on localhost and production shows none, which is the difference this project keeps paying for	.audit/probe-hw.mjs	caught before I reported success
2026-09-04T21:09:14Z	verify	saw 2 of 2 itineraries where every earlier run gave 3, and measured twice before calling it a regression	live fares move, and a false regression report costs an agent a day chasing nothing	two passes, both 3 of 3, all three cities	transient, not a regression
2026-09-04T21:09:15Z	note	the failed-to-fetch line another agent saw on the cross-check row did not reproduce	it flagged it as possibly transient and it was, so I am not filing it	two clean passes	not filed
2026-09-04T21:09:15Z	finding	filed the technical stop gap: the kiwi mapper drops every multi-segment itinerary	a neos bvc-sal-fco is one aircraft and the owner never leaves it, so it is one flight, not a layover, and it may be the fastest option	issue 210, kiwi-public-mapper soleSegmentOf	agent dispatched
2026-09-04T21:13:50Z	finding	hostelworld has a city called Gatwick, region Horley, holding the exact properties the owner found 2.8km out	our rankCitiesNear prefers London and returns on the first city that answers, so we never ask	issue 204	handed to the 204 agent
2026-09-04T21:13:50Z	finding	a priced bed is deleted when no transfer provider can route to it, which is why I kept seeing no bed priced	controlled experiment on one variable: osrm answering gives a EUR 78 bed, osrm refused gives bed not priced	issue 211	filed
2026-09-04T21:13:50Z	correct	my report that no bed prices on production was the wrong diagnosis	the bed prices correctly and is then discarded by a routing failure, which is a different defect from the ranking one I attributed it to	issue 211 against issue 204	corrected to the agent
2026-09-04T21:31:30Z	fix	gave every leg a city and a code, and hid the country below 30rem	three cities plus three codes plus a country wraps to three lines on a phone, 89px against 50px, on a card 197 had just shrunk	PR 214	open
2026-09-04T21:31:30Z	verify	screenshotted the stopover label rather than trusting innerText	innerText read London LGW , United Kingdom with a space before the comma, and the pixels showed the comma hugging correctly	/tmp/shots/stopover-label.png	innerText was the artifact
2026-09-04T21:31:30Z	merge	map defects merged, marker collision measured in screen space not by coordinate	bergamo centre is a real 5km from its airport, which is a third of a pixel at trip zoom, so a coordinate test could not have worked	PR 201	merged
2026-09-04T21:33:37Z	merge	merged 212: an unknown transfer price is ranked with a derived penalty instead of totalled as zero	the total still says only what providers quoted, so it stays trustworthy, and the ranking stops treating a 48km taxi as free	PR 212, closes 204 and 211	merged
2026-09-04T21:33:37Z	finding	no radius can fix the Horley complaint, which the agent proved rather than assumed	gatwick to london is 40.1km and malpensa to milan is 40.4km, so any radius excluding the london bed also breaks milan	PR 212 tests assert the argument not the number	radius 100 to 50km anyway
2026-09-04T21:33:37Z	finding	the owner's uber and cabify idea does not work, measured not guessed	uber bolt freenow cabify and lyft all return ERR_FAILED with no access-control-allow-origin, even on a plain GET with no preflight	probed from a real page origin in chromium	rejected with evidence
2026-09-04T21:33:37Z	dispatch	sent the bed agent back for its own finding: ask hostelworld city 3671 Gatwick instead of London	every other piece landed and this is the only one that puts a walkable bed in front of him	message to the bed agent	running
2026-09-04T21:38:54Z	milestone	the acceptance trip now prices a bed keylessly, EUR 173 flight plus EUR 78 bed plus EUR 56 flight, total EUR 307	this is the condition the whole run has been blocked on, and it needed 202 to find beds and 212 to stop a routing failure deleting them	production, own chromium, no keys	acceptance condition 3 passes
2026-09-04T21:38:54Z	fix	rewrote my own bed check for the second time, now anchored on the total line's disclaimer	the first version passed vacuously on old copy, the second failed once beds worked because the total honestly says excludes unpriced ground transport	.audit/check-predicate.sh	both readings were wrong in opposite directions
2026-09-04T21:38:54Z	verify	ground transport now routes real public transit to the hostel	thameslink, northern line and metrobus legs, not a straight line or an empty row	probe-legs output	acceptance condition 5 holds
2026-09-04T21:46:38Z	merge	merged 215, the proportional strip, and looked at the rendered strip rather than the diff	the owner asked for proportional segments, a split per day, and waiting and transport visible, and all three are checkable by eye	strip 79px, six night cells, square-root scale labelled on screen	merged and deployed
2026-09-04T21:46:38Z	note	the card is 549px on a phone against the 462px 197 won	the strip, the new route label and the ground cost rows all spend from the same budget, and pretending otherwise would hide a real regression	probe-strip measurement	flagged to the owner
2026-09-04T21:52:53Z	correct	my issue 189 claimed the filters were inverted, and they are not	the chips are deselect toggles that start selected, and my probe assumed a select model, so I read correct behaviour as a bug	issue 189 comment with computed styles	retitled and corrected
2026-09-04T21:52:53Z	finding	the real filter defect: clicking a chip changes the results and changes nothing about the chip	aria-pressed stays true and no visual state changes, so nobody can tell which facets are excluded	before and after computed style on production	issue 189 rewritten
2026-09-04T21:52:53Z	finding	a 10km airport transfer is offered as a 33h journey through sardinia, rome and amsterdam, with flights sold as public transport	the request we send is correct, so transitous answers a sane question insanely and we render it without judgement	issue 220, fromPlace 52.4539 -1.748 toPlace 52.4764 -1.886	agent dispatched
2026-09-04T22:03:20Z	milestone	every acceptance check passes on production: three itineraries, a bed in the total, and no console errors	the console errors were the 48km walking requests, and 212 stopped us sending them at all	.audit/check-predicate.sh, 2 failing and both bookkeeping	P3 fully green
2026-09-04T22:03:20Z	merge	merged 222, so hostelworld is asked for the gatwick city and Horley properties reach the picker	the bug was an early return: gatwick was already second on the candidate list and searchStays returned the moment london answered	PR 222	merged and deployed
2026-09-04T22:03:20Z	finding	Horley is now available but still not picked, because the picker orders on price alone	a city dorm structurally undercuts an airport hotel, so price-only ordering buries the near option by construction	issue 219	the owner's decision, not a mechanical fix
