ts	phase	decision	why	evidence	result
2026-09-06T09:34:31Z	note	gh pr merge --delete-branch reports a git failure after a successful merge here	main is checked out in another worktree so the local cleanup step dies, and AGENTS.md warns this fails quietly if stderr is redirected	PR 409 merged at 09:31:52 despite the error text	check the PR state, never the exit code
2026-09-06T09:42:49Z	finding	the verifier printed "a SKIP is not a pass" and then exited 0 on the next line	skipped was never in the exit code, so this morning four unreachable checks would have reported production healthy to any caller	PR 410, proved by watching exit 3 fire on 9 skips	fixed
2026-09-06T09:42:49Z	lever	local harness reproduces the production reading exactly, 31 pass 3 fail same three	a branch can now be measured before it merges rather than after it deploys	.audit/verify-local-orchestrator.sh	proven
2026-09-06T09:46:22Z	pushback	asked the stays agent to reconsider leaving the bus column empty	it rejected one-to-all on never-present-an-estimate-as-a-fact, but the rule bars unlabelled estimates and this UI already ships "straight-line estimate", and the owner named the bus explicitly	fetch-reach.ts header, MOTIS one-to-many 400s for TRANSIT	asked it to measure and decide
2026-09-06T09:46:22Z	measured	stay list reach costs 2 OSRM table requests cold and 0 warm, for walk and drive	the agent measured it with tools/probe-stay-reach.mjs after catching its own first version marking the counter too late and reporting the list as free	fetch-reach.ts header table	accepted
2026-09-06T09:50:24Z	review	fare table covers 12 continental hubs and no UK airport, while the acceptance route connects through BHX LGW MAN	the owner would run his own search and see "not priced" unchanged, and conclude nothing shipped	AMS ATH BCN BER BUD CDG LIN LIS MAD ORY PRG WAW	asked it to recheck the UK exclusions against its own rule
2026-09-06T09:53:01Z	review	accepted a better answer than the one I asked for on the transitous cache	I asked for a shape version, it kept the cached value a pure function of the key and moved the fare after the cache, with a test asserting the entry carries no fare	transitous.ts comment plus transitous.test.ts case	bug class made impossible rather than patched
2026-09-06T09:53:01Z	merged	PR 410 skip-exit-code fix landed on main	-	merged 09:52:09	E2 back to one open PR
2026-09-06T09:55:50Z	integration	merged all three agent branches onto main locally before merging any of them	both the stays and maps agents rewrote osrm.ts and I wanted the merged file read rather than the conflict markers	zero conflicts, and the merged osrm.ts keeps the exported walk constant, the thin-entry fix, full-geojson-thinned and overview full	verified by grep, suites running
2026-09-06T09:55:50Z	wrong	my one-to-all proposal for bus times was measured and killed by the stays agent	coverage and magnitude were fine but the ORDER was not: 1 of 8 properties matched position against /plan, because one-to-all reports earliest arrival at a stop and /plan optimises the journey	probe committed on the branch	I was wrong, its refusal stands
